%#        Time[ms]        X[pixel],        Y[pixel],        Z[pixel],  dX/dt[pixel/s],  dY/dt[pixel/s],  dZ/dt[pixel/s] 
2100 33.53 43.07 0.00 -2.8543 -0.5767 -0.5767
2125 33.39 42.95 0.00 -4.5630 -1.6769 -1.6769
2150 33.14 42.75 0.00 -6.6151 -2.0498 -2.0498
2175 33.14 42.75 0.00 -6.6151 -2.0498 -2.0498
2200 32.87 42.56 0.00 -7.0818 -2.5707 -2.5707
2225 32.55 42.47 0.00 -8.5587 -3.3947 -3.3947
2250 32.55 42.47 0.00 -8.5587 -3.3947 -3.3947
2275 32.19 42.47 0.00 -8.9256 -4.6948 -4.6948
2300 31.84 42.47 0.00 -8.4601 -5.1283 -5.1283
2325 31.84 42.47 0.00 -8.4601 -5.1283 -5.1283
2350 31.52 42.36 0.00 -7.9182 -4.8969 -4.8969
2375 31.21 42.13 0.00 -7.3247 -4.5809 -4.5809
2400 30.96 41.87 0.00 -6.0559 -3.8328 -3.8328
2425 30.96 41.87 0.00 -6.0559 -3.8328 -3.8328
2450 30.76 41.63 0.00 -4.6246 -4.3490 -4.3490
2475 30.58 41.44 0.00 -4.2783 -4.3771 -4.3771
2500 30.58 41.44 0.00 -4.2783 -4.3771 -4.3771
2525 30.42 41.34 0.00 -3.3855 -2.5331 -2.5331
2550 30.33 41.25 0.00 -2.0754 -0.9931 -0.9931
2575 30.27 41.13 0.00 -0.9995 -0.3349 -0.3349
2600 30.27 41.13 0.00 -0.9995 -0.3349 -0.3349
2625 30.25 40.98 0.00 -0.8211 -0.7126 -0.7126
2650 30.20 40.78 0.00 -1.4140 -0.6393 -0.6393
2675 30.20 40.78 0.00 -1.4140 -0.6393 -0.6393
2700 30.13 40.50 0.00 -2.2386 -0.7140 -0.7140
2725 30.02 40.19 0.00 -2.4739 -0.3949 -0.3949
2750 30.02 40.19 0.00 -2.4739 -0.3949 -0.3949
2775 29.93 39.95 0.00 -2.7166 -0.7149 -0.7149
2800 29.80 39.68 0.00 -3.5434 -0.4130 -0.4130
2825 29.80 39.68 0.00 -3.5434 -0.4130 -0.4130
2850 29.65 39.40 0.00 -3.1075 0.8540 0.8540
2875 29.60 39.16 0.00 -0.6632 2.2907 2.2907
2900 29.60 39.16 0.00 -0.6632 2.2907 2.2907
2925 29.58 38.96 0.00 -0.0545 0.8959 0.8959
2950 29.58 38.73 0.00 -0.4682 0.3042 0.3042
2975 29.51 38.45 0.00 -2.4539 -0.6225 -0.6225
3000 29.51 38.45 0.00 -2.4539 -0.6225 -0.6225
3025 29.35 38.12 0.00 -5.2996 -1.3946 -1.3946
3050 29.09 37.89 0.00 -6.9328 -3.0892 -3.0892
3075 29.09 37.89 0.00 -6.9328 -3.0892 -3.0892
3100 28.84 37.83 0.00 -5.1386 -1.7205 -1.7205
3125 28.69 37.84 0.00 -3.0808 -2.4276 -2.4276
