%#        Time[ms]        X[pixel],        Y[pixel],        Z[pixel],  dX/dt[pixel/s],  dY/dt[pixel/s],  dZ/dt[pixel/s]
 2175, 61.27, 42.1, 0, 2.7909, 1.1957, 0
 2200, 61.41, 42.11, 0, 3.6148, 0.4878, 0
 2225, 61.41, 42.11, 0, 3.6148, 0.4878, 0
 2250, 61.59, 42.16, 0, 5.188, 0.0871, 0
 2275, 61.85, 42.25, 0, 7.5514, -0.4997, 0
 2300, 62.21, 42.31, 0, 9.6359, -1.6546, 0
 2325, 62.21, 42.31, 0, 9.6359, -1.6546, 0
 2350, 62.62, 42.37, 0, 10.0691, -2.2494, 0
 2375, 62.62, 42.37, 0, 10.0691, -2.2494, 0
 2400, 62.99, 42.49, 0, 8.7503, -2.3081, 0
 2425, 63.25, 42.6, 0, 5.5608, -2.1524, 0
 2450, 63.43, 42.63, 0, 3.7537, -0.1585, 0
 2475, 63.43, 42.63, 0, 3.7537, -0.1585, 0
 2500, 63.57, 42.64, 0, 3.8678, 0.0127, 0
 2525, 63.75, 42.71, 0, 5.1581, -0.6965, 0
 2550, 63.75, 42.71, 0, 5.1581, -0.6965, 0
 2575, 64.05, 42.76, 0, 9.124, -1.401, 0
 2600, 64.48, 42.72, 0, 10.8299, -2.0232, 0
 2625, 64.48, 42.72, 0, 10.8299, -2.0232, 0
 2650, 64.89, 42.67, 0, 9.3023, -0.4473, 0
 2675, 65.19, 42.6, 0, 6.8216, 0.3436, 0
 2700, 65.46, 42.51, 0, 7.0718, 0.6691, 0
 2725, 65.46, 42.51, 0, 7.0718, 0.6691, 0
 2750, 65.75, 42.42, 0, 7.4551, 0.0287, 0
 2775, 66.07, 42.31, 0, 8.0509, -1.3962, 0
 2800, 66.41, 42.22, 0, 9.0843, -1.1945, 0
 2825, 66.41, 42.22, 0, 9.0843, -1.1945, 0
 2850, 66.84, 42.06, 0, 11.7741, -0.6515, 0
 2875, 67.33, 41.91, 0, 11.7422, 0.7074, 0
 2900, 67.33, 41.91, 0, 11.7422, 0.7074, 0
 2925, 67.76, 41.75, 0, 10.2412, 1.2243, 0
 2950, 67.76, 41.75, 0, 10.2412, 1.2243, 0
 2975, 68.03, 41.64, 0, 7.8595, 1.1802, 0
 3000, 68.25, 41.55, 0, 4.0382, 0.7214, 0
 3025, 68.39, 41.49, 0, 3.5533, 0.0465, 0
 3050, 68.39, 41.49, 0, 3.5533, 0.0465, 0
 3075, 68.57, 41.42, 0, 5.6746, -1.2024, 0
 3100, 68.86, 41.38, 0, 7.8837, -2.3602, 0
 3125, 68.86, 41.38, 0, 7.8837, -2.3602, 0
 3150, 69.11, 41.33, 0, 5.3075, -1.5773, 0
 3175, 69.29, 41.24, 0, 3.7261, 0.8036, 0
 3200, 69.44, 41.14, 0, 4.3817, 1.0977, 0
 3225, 69.44, 41.14, 0, 4.3817, 1.0977, 0
 3250, 69.66, 41.03, 0, 5.9518, -0.7533, 0
 3275, 69.95, 40.96, 0, 7.4442, -1.1399, 0
 3300, 70.24, 40.84, 0, 6.9182, -1.396, 0
 3325, 70.24, 40.84, 0, 6.9182, -1.396, 0
 3350, 70.49, 40.73, 0, 6.1389, -0.9551, 0
 3375, 70.71, 40.6, 0, 5.0159, -1.2555, 0
 3400, 70.71, 40.6, 0, 5.0159, -1.2555, 0
 3425, 70.89, 40.47, 0, 4.1814, -0.9321, 0
 3450, 70.98, 40.39, 0, 1.348, -0.9159, 0
 3475, 70.98, 40.39, 0, 1.348, -0.9159, 0
 3500, 70.98, 40.33, 0, -0.6611, -1.0084, 0
 3525, 70.96, 40.29, 0, -0.0818, -0.8886, 0
 3550, 70.96, 40.29, 0, -0.0818, -0.8886, 0
 3575, 70.98, 40.19, 0, 0.477, -0.4347, 0
 3600, 71.02, 40.08, 0, 1.8518, 0.6029, 0
 3625, 71.02, 40.08, 0, 1.8518, 0.6029, 0
 3650, 71.11, 39.93, 0, 1.6917, 0.022, 0
 3675, 71.15, 39.74, 0, 0.8119, -0.058, 0
 3700, 71.15, 39.74, 0, 0.8119, -0.058, 0
 3725, 71.18, 39.44, 0, 0.6879, 0.0913, 0
 3750, 71.18, 39.24, 0, -0.1138, -0.4368, 0
 3775, 71.16, 39.05, 0, -1.0068, -0.3593, 0
 3800, 71.16, 39.05, 0, -1.0068, -0.3593, 0
 3825, 71.09, 38.94, 0, -2.3139, 0.0269, 0
 3850, 70.95, 38.85, 0, -4.2346, 0.6903, 0
 3875, 70.73, 38.71, 0, -6.2295, 1.0472, 0
 3900, 70.73, 38.71, 0, -6.2295, 1.0472, 0
 3925, 70.42, 38.49, 0, -9.0495, 3.4767, 0
 3950, 70.04, 38.38, 0, -9.2602, 3.8742, 0
 3975, 70.04, 38.38, 0, -9.2602, 3.8742, 0
 4000, 69.75, 38.32, 0, -5.9356, 2.8866, 0
 4025, 69.51, 38.29, 0, -6.2366, 0.1582, 0
 4050, 69.51, 38.29, 0, -6.2366, 0.1582, 0
 4075, 69.28, 38.29, 0, -5.4531, 0.7969, 0
 4100, 69.06, 38.32, 0, -5.0259, -0.3121, 0
 4125, 68.82, 38.33, 0, -6.5204, 0.8005, 0
 4150, 68.82, 38.33, 0, -6.5204, 0.8005, 0
 4175, 68.5, 38.41, 0, -9.1594, 0.7358, 0
 4200, 68.08, 38.51, 0, -11.5377, 0.3482, 0
 4225, 68.08, 38.51, 0, -11.5377, 0.3482, 0
 4250, 67.6, 38.62, 0, -11.919, 0.1809, 0
 4275, 67.15, 38.7, 0, -11.1827, 0.833, 0
 4300, 67.15, 38.7, 0, -11.1827, 0.833, 0
 4325, 66.73, 38.72, 0, -9.3388, 2.8069, 0
 4350, 66.45, 38.68, 0, -6.1246, 2.4614, 0
 4375, 66.21, 38.52, 0, -5.6586, 3.6157, 0
